,symbol,gpa,remarks
4049,00202118T,2.8,COMPLETED
4050,00202119U,3.65,COMPLETED
4051,00202120V,3.2,COMPLETED
4052,00202121W,2.85,COMPLETED
4053,00202122X,2.6,COMPLETED
4054,00202123Y,3.05,COMPLETED
4055,00202124Z,2.55,COMPLETED
4056,00202125A,2.9,COMPLETED
4057,00202126B,2.9,COMPLETED
4058,00202127C,3.0,COMPLETED
4059,00202128D,3.1,COMPLETED
4060,00202129E,2.9,COMPLETED
4061,00202130F,2.9,COMPLETED
4062,00202131G,3.0,COMPLETED
4063,00202132H,2.9,COMPLETED
4064,00202133I,3.25,COMPLETED
4065,00202134J,3.0,COMPLETED
4066,00202135K,3.0,COMPLETED
4067,00202136L,2.9,COMPLETED
4068,00202137M,3.05,COMPLETED
4069,00202138N,3.1,COMPLETED
4070,00202139O,2.9,COMPLETED
4071,00202140P,2.9,COMPLETED
4072,00202141Q,2.9,COMPLETED
4073,00202142R,2.9,COMPLETED
4074,00202143S,3.1,COMPLETED
4075,00202144T,2.9,COMPLETED
4076,00202145U,3.5,COMPLETED
4077,00202146V,3.0,COMPLETED
4078,00202147W,3.0,COMPLETED
4079,00202148X,3.5,COMPLETED
4080,00202149Y,3.0,COMPLETED
4081,00202150Z,3.1,COMPLETED
4082,00202151A,2.95,COMPLETED
4083,00202152B,2.9,COMPLETED
4084,00202153C,2.9,COMPLETED
4085,00202154D,2.15,COMPLETED
4086,00202155E,2.15,COMPLETED
4087,00202156F,3.05,COMPLETED
4088,00202157G,2.15,COMPLETED
4089,00202158H,3.25,COMPLETED
4090,00202159I,2.25,COMPLETED
4091,00202160J,2.2,COMPLETED
4092,00202161K,2.1,COMPLETED
4093,00202162L,,ABSENT8
4094,00202163M,2.3,COMPLETED
4095,00202164N,3.8,COMPLETED
4096,00202165O,3.3,COMPLETED
4097,00202166P,3.6,COMPLETED
4098,00202167Q,1.95,COMPLETED
4099,00202168R,2.15,COMPLETED
4100,00202169S,2.3,COMPLETED
4101,00202170T,2.9,COMPLETED
4102,00202171U,2.85,COMPLETED
4103,00202172V,2.65,COMPLETED
4104,00202173W,1.95,COMPLETED
4105,00202174X,2.15,COMPLETED
4106,00202175Y,2.6,COMPLETED
4107,00202176Z,2.3,COMPLETED
4108,00202177A,2.1,COMPLETED
4109,00202178B,2.0,COMPLETED
4110,00202179C,2.15,COMPLETED
4111,00202180D,2.1,COMPLETED
4112,00202181E,2.4,COMPLETED
4113,00202182F,2.05,COMPLETED
4114,00202183G,2.65,COMPLETED
4115,00202184H,2.75,COMPLETED
4116,00202185I,2.2,COMPLETED
4117,00202186J,2.2,COMPLETED
4118,00202187K,2.1,COMPLETED
4119,00202188L,2.45,COMPLETED
4120,00202189M,1.95,COMPLETED
4121,00202190N,2.6,COMPLETED
4122,00202191O,2.6,COMPLETED
4123,00202192P,3.25,COMPLETED
4124,00202193Q,2.35,COMPLETED
4125,00202194R,2.4,COMPLETED
4126,00202195S,2.15,COMPLETED
4127,00202196T,2.8,COMPLETED
4128,00202197U,2.0,COMPLETED
4129,00202198V,3.65,COMPLETED
4130,00202199W,3.2,COMPLETED
4131,00202200X,3.8,COMPLETED
4132,00202201Y,3.45,COMPLETED
4133,00202202Z,3.8,COMPLETED
4134,00202203A,3.1,COMPLETED
4135,00202204B,3.05,COMPLETED
4136,00202205C,3.0,COMPLETED
4137,00202206D,3.05,COMPLETED
4138,00202207E,3.8,COMPLETED
4139,00202208F,3.2,COMPLETED
4140,00202209G,3.55,COMPLETED
4141,00202210H,3.05,COMPLETED
4142,00202211I,3.25,COMPLETED
4143,00202212J,2.85,COMPLETED
4144,00202213K,2.85,COMPLETED
4145,00202214L,2.8,COMPLETED
4146,00202215M,3.05,COMPLETED
4147,00202216N,2.95,COMPLETED
4148,00202217O,2.6,COMPLETED
4149,00202218P,2.75,COMPLETED
4150,00202219Q,2.9,COMPLETED
4151,00202220R,2.7,COMPLETED
4152,00202221S,2.9,COMPLETED
4153,00202222T,2.6,COMPLETED
4154,00202223U,2.6,COMPLETED
4155,00202224V,2.95,COMPLETED
4156,00202225W,2.75,COMPLETED
4157,00202226X,3.15,COMPLETED
4158,00202227Y,3.45,COMPLETED
4159,00202228Z,2.85,COMPLETED
4160,00202229A,2.85,COMPLETED
4161,00202230B,2.7,COMPLETED
4162,00202231C,3.5,COMPLETED
4163,00202232D,2.65,COMPLETED
4164,00202233E,3.05,COMPLETED
4165,00202234F,3.4,COMPLETED
4166,00202235G,2.75,COMPLETED
4167,00202236H,2.75,COMPLETED
4168,00202237I,2.8,COMPLETED
4169,00202238J,2.85,COMPLETED
4170,00202239K,2.75,COMPLETED
4171,00202240L,3.5,COMPLETED
4172,00202241M,2.8,COMPLETED
4173,00202242N,2.8,COMPLETED
4174,00202243O,2.7,COMPLETED
4175,00202244P,2.7,COMPLETED
4176,00202245Q,2.8,COMPLETED
4177,00202246R,2.7,COMPLETED
4178,00202247S,3.05,COMPLETED
4179,00202248T,2.65,COMPLETED
4180,00202249U,2.8,COMPLETED
4181,00202250V,2.65,COMPLETED
4182,00202251W,3.15,COMPLETED
4183,00202252X,3.35,COMPLETED
4184,00202253Y,2.75,COMPLETED
4185,00202254Z,2.7,COMPLETED
4186,00202255A,2.6,COMPLETED
4187,00202256B,2.7,COMPLETED
4188,00202257C,2.4,COMPLETED
4189,00202258D,2.4,COMPLETED
4190,00202259E,2.9,COMPLETED
4191,00202260F,2.6,COMPLETED
4192,00202261G,2.45,COMPLETED
4193,00202262H,3.35,COMPLETED
4194,00202263I,2.9,COMPLETED
4195,00202264J,2.4,COMPLETED
4196,00202265K,2.6,COMPLETED
4197,00202266L,2.65,COMPLETED
4198,00202267M,3.05,COMPLETED
4199,00202268N,2.85,COMPLETED
4200,00202269O,2.55,COMPLETED
4201,00202270P,3.25,COMPLETED
4202,00202271Q,2.6,COMPLETED
4203,00202272R,3.35,COMPLETED
4204,00202273S,2.9,COMPLETED
4205,00202274T,2.65,COMPLETED
4206,00202275U,2.65,COMPLETED
4207,00202276V,2.5,COMPLETED
4208,00202277W,2.9,COMPLETED
4209,00202278X,2.8,COMPLETED
4210,00202279Y,2.9,COMPLETED
4211,00202280Z,2.65,COMPLETED
4212,00202281A,2.8,COMPLETED
4213,00202282B,2.7,COMPLETED
4214,00202283C,3.0,COMPLETED
4215,00202284D,2.5,COMPLETED
4216,00202285E,2.55,COMPLETED
4217,00202286F,2.8,COMPLETED
4218,00202287G,2.55,COMPLETED
4219,00202288H,2.8,COMPLETED
4220,00202289I,2.6,COMPLETED
4221,00202290J,3.1,COMPLETED
4222,00202291K,2.6,COMPLETED
4223,00202292L,2.65,COMPLETED
4224,00202293M,3.15,COMPLETED
4225,00202294N,2.6,COMPLETED
4226,00202295O,2.3,COMPLETED
4227,00202296P,2.6,COMPLETED
4228,00202297Q,2.65,COMPLETED
4229,00202298R,2.95,COMPLETED
4230,00202299S,2.6,COMPLETED
4231,00202300T,2.35,COMPLETED
4232,00202301U,2.55,COMPLETED
4233,00202302V,2.45,COMPLETED
4234,00202303W,3.1,COMPLETED
4235,00202304X,2.55,COMPLETED
4236,00202305Y,2.5,COMPLETED
4237,00202306Z,2.9,COMPLETED
4238,00202307A,2.65,COMPLETED
4239,00202308B,2.6,COMPLETED
4240,00202309C,2.85,COMPLETED
4241,00202310D,2.45,COMPLETED
4242,00202311E,2.65,COMPLETED
4243,00202312F,2.7,COMPLETED
4244,00202313G,2.95,COMPLETED
4245,00202314H,2.8,COMPLETED
4246,00202315I,2.95,COMPLETED
4247,00202316J,3.2,COMPLETED
4248,00202317K,2.55,COMPLETED
4249,00202318L,2.9,COMPLETED
4250,00202319M,2.7,COMPLETED
4251,00202320N,2.65,COMPLETED
4252,00202321O,2.85,COMPLETED
4253,00202322P,2.75,COMPLETED
4254,00202323Q,2.55,COMPLETED
4255,00202324R,2.9,COMPLETED
4256,00202325S,2.8,COMPLETED
4257,00202326T,2.75,COMPLETED
4258,00202327U,2.65,COMPLETED
4259,00202328V,2.55,COMPLETED
4260,00202329W,3.05,COMPLETED
4261,00202330X,3.05,COMPLETED
4262,00202331Y,2.7,COMPLETED
4263,00202332Z,2.85,COMPLETED
4264,00202333A,2.7,COMPLETED
4265,00202334B,2.75,COMPLETED
4266,00202335C,2.8,COMPLETED
4267,00202336D,3.05,COMPLETED
4268,00202337E,2.9,COMPLETED
4269,00202338F,2.8,COMPLETED
4270,00202339G,3.2,COMPLETED
4271,00202340H,2.3,COMPLETED
4272,00202341I,2.55,COMPLETED
4273,00202342J,2.55,COMPLETED
4274,00202343K,2.45,COMPLETED
4275,00202344L,2.4,COMPLETED
4276,00202345M,2.35,COMPLETED
4277,00202346N,,ABSENT8
4278,00202347O,2.55,COMPLETED
4279,00202348P,2.6,COMPLETED
4280,00202349Q,2.4,COMPLETED
4281,00202350R,2.45,COMPLETED
4282,00202351S,2.35,COMPLETED
4283,00202352T,2.5,COMPLETED
4284,00202353U,2.5,COMPLETED
4285,00202354V,2.5,COMPLETED
4286,00202355W,2.6,COMPLETED
4287,00202356X,,ABSENT8
4288,00202357Y,2.4,COMPLETED
4289,00202358Z,2.55,COMPLETED
4290,00202359A,2.7,COMPLETED
4291,00202360B,2.75,COMPLETED
4292,00202361C,2.45,COMPLETED
4293,00202362D,2.35,COMPLETED
4294,00202363E,2.55,COMPLETED
4295,00202364F,2.4,COMPLETED
4296,00202365G,2.75,COMPLETED
4297,00202366H,2.6,COMPLETED
4298,00202367I,2.35,COMPLETED
4299,00202368J,,ABSENT8
4300,00202369K,2.75,COMPLETED
4301,00202370L,2.3,COMPLETED
4302,00202371M,2.3,COMPLETED
4303,00202372N,2.35,COMPLETED
4304,00202373O,2.5,COMPLETED
4305,00202374P,2.55,COMPLETED
4306,00202375Q,2.5,COMPLETED
4307,00202376R,2.3,COMPLETED
4308,00202377S,2.45,COMPLETED
4309,00202378T,2.35,COMPLETED
4310,00202379U,2.45,COMPLETED
4311,00202380V,2.4,COMPLETED
4312,00202381W,2.45,COMPLETED
4313,00202382X,2.85,COMPLETED
4314,00202383Y,2.35,COMPLETED
4315,00202384Z,2.9,COMPLETED
4316,00202385A,2.3,COMPLETED
4317,00202386B,2.7,COMPLETED
4318,00202387C,2.35,COMPLETED
4319,00202388D,2.35,COMPLETED
4320,00202389E,2.5,COMPLETED
4321,00202390F,2.4,COMPLETED
4322,00202391G,2.35,COMPLETED
4323,00202392H,2.5,COMPLETED
4324,00202393I,3.0,COMPLETED
4325,00202394J,2.9,COMPLETED
4326,00202395K,2.85,COMPLETED
4327,00202396L,3.3,COMPLETED
4328,00202397M,2.75,COMPLETED
4329,00202398N,3.4,COMPLETED
4330,00202399O,3.15,COMPLETED
4331,00202400P,3.0,COMPLETED
4332,00202401Q,3.15,COMPLETED
4333,00202402R,2.85,COMPLETED
4334,00202403S,3.2,COMPLETED
4335,00202404T,3.0,COMPLETED
4336,00202405U,2.75,COMPLETED
4337,00202406V,3.1,COMPLETED
4338,00202407W,3.0,COMPLETED
4339,00202408X,3.1,COMPLETED
4340,00202409Y,3.15,COMPLETED
4341,00202410Z,2.95,COMPLETED
4342,00202411A,3.05,COMPLETED
4343,00202412B,3.1,COMPLETED
4344,00202413C,3.05,COMPLETED
4345,00202414D,3.05,COMPLETED
4346,00202415E,2.8,COMPLETED
4347,00202416F,2.95,COMPLETED
4348,00202417G,2.85,COMPLETED
4349,00202418H,3.05,COMPLETED
4350,00202419I,3.3,COMPLETED
4351,00202420J,3.2,COMPLETED
4352,00202421K,3.35,COMPLETED
4353,00202422L,3.45,COMPLETED
4354,00202423M,3.05,COMPLETED
4355,00202424N,3.05,COMPLETED
4356,00202425O,3.0,COMPLETED
4357,00202426P,3.4,COMPLETED
4358,00202427Q,2.8,COMPLETED
4359,00202428R,2.9,COMPLETED
4360,00202429S,3.2,COMPLETED
4361,00202430T,3.1,COMPLETED
4362,00202431U,2.85,COMPLETED
4363,00202432V,2.95,COMPLETED
4364,00202433W,3.05,COMPLETED
4365,00202434X,3.05,COMPLETED
4366,00202435Y,3.25,COMPLETED
4367,00202436Z,2.8,COMPLETED
4368,00202437A,3.1,COMPLETED
4369,00202438B,3.15,COMPLETED
4370,00202439C,2.75,COMPLETED
4371,00202440D,2.75,COMPLETED
4372,00202441E,2.75,COMPLETED
4373,00202442F,2.45,COMPLETED
4374,00202443G,2.7,COMPLETED
4375,00202444H,2.65,COMPLETED
4376,00202445I,3.1,COMPLETED
4377,00202446J,2.7,COMPLETED
4378,00202447K,2.9,COMPLETED
4379,00202448L,2.25,COMPLETED
4380,00202449M,3.0,COMPLETED
4381,00202450N,2.8,COMPLETED
4382,00202451O,2.45,COMPLETED
4383,00202452P,2.25,COMPLETED
4384,00202453Q,2.35,COMPLETED
4385,00202454R,2.7,COMPLETED
4386,00202455S,2.55,COMPLETED
4387,00202456T,2.95,COMPLETED
4388,00202457U,2.7,COMPLETED
4389,00202458V,2.6,COMPLETED
4390,00202459W,2.95,COMPLETED
4391,00202460X,3.0,COMPLETED
4392,00202461Y,2.35,COMPLETED
4393,00202462Z,2.5,COMPLETED
4394,00202463A,2.25,COMPLETED
4395,00202464B,2.25,COMPLETED
4396,00202465C,2.6,COMPLETED
4397,00202466D,3.15,COMPLETED
4398,00202467E,2.35,COMPLETED
4399,00202468F,2.6,COMPLETED
4400,00202469G,2.5,COMPLETED
4401,00202470H,2.45,COMPLETED
4402,00202471I,2.5,COMPLETED
4403,00202472J,2.7,COMPLETED
4404,00202473K,2.5,COMPLETED
4405,00202474L,2.45,COMPLETED
4406,00202475M,2.45,COMPLETED
4407,00202476N,2.7,COMPLETED
4408,00202477O,2.6,COMPLETED
4409,00202478P,2.5,COMPLETED
4410,00202479Q,2.5,COMPLETED
4411,00202480R,2.45,COMPLETED
4412,00202481S,2.5,COMPLETED
4413,00202482T,2.5,COMPLETED
4414,00202483U,2.6,COMPLETED
4415,00202484V,2.6,COMPLETED
4416,00202485W,2.45,COMPLETED
4417,00202486X,2.6,COMPLETED
4418,00202487Y,2.5,COMPLETED
4419,00202488Z,2.5,COMPLETED
4420,00202489A,2.45,COMPLETED
4421,00202490B,2.45,COMPLETED
4422,00202491C,2.5,COMPLETED
4423,00202492D,2.85,COMPLETED
4424,00202493E,2.7,COMPLETED
4425,00202494F,2.75,COMPLETED
4426,00202495G,2.8,COMPLETED
4427,00202496H,3.0,COMPLETED
4428,00202497I,2.8,COMPLETED
4429,00202498J,3.1,COMPLETED
4430,00202499K,3.2,COMPLETED
4431,00202500L,2.9,COMPLETED
4432,00202501M,2.8,COMPLETED
4433,00202502N,2.75,COMPLETED
4434,00202503O,3.05,COMPLETED
4435,00202504P,2.6,COMPLETED
4436,00202505Q,2.6,COMPLETED
4437,00202506R,2.6,COMPLETED
4438,00202507S,2.6,COMPLETED
4439,00202508T,2.6,COMPLETED
4440,00202509U,2.7,COMPLETED
4441,00202510V,2.6,COMPLETED
4442,00202511W,2.65,COMPLETED
4443,00202512X,2.7,COMPLETED
4444,00202513Y,2.75,COMPLETED
4445,00202514Z,2.85,COMPLETED
4446,00202515A,3.25,COMPLETED
4447,00202516B,2.8,COMPLETED
4448,00202517C,2.7,COMPLETED
4449,00202518D,3.15,COMPLETED
4450,00202519E,2.75,COMPLETED
4451,00202520F,3.3,COMPLETED
4452,00202521G,2.8,COMPLETED
4453,00202522H,2.8,COMPLETED
4454,00202523I,2.75,COMPLETED
4455,00202524J,2.7,COMPLETED
4456,00202525K,2.7,COMPLETED
4457,00202526L,2.7,COMPLETED
4458,00202527M,2.7,COMPLETED
4459,00202528N,2.75,COMPLETED
4460,00202529O,2.75,COMPLETED
4461,00202530P,2.65,COMPLETED
4462,00202531Q,2.65,COMPLETED
4463,00202532R,2.75,COMPLETED
4464,00202533S,2.75,COMPLETED
4465,00202534T,2.75,COMPLETED
4466,00202535U,2.8,COMPLETED
4467,00202536V,2.7,COMPLETED
4468,00202537W,2.8,COMPLETED
4469,00202538X,2.6,COMPLETED
4470,00202539Y,2.65,COMPLETED
4471,00202540Z,2.7,COMPLETED
4472,00202541A,2.75,COMPLETED
4473,00202542B,2.7,COMPLETED
4474,00202543C,2.75,COMPLETED
4475,00202544D,2.65,COMPLETED
4476,00202545E,2.75,COMPLETED
4477,00202546F,2.8,COMPLETED
4478,00202547G,2.6,COMPLETED
4479,00202548H,2.65,COMPLETED
4480,00202549I,2.8,COMPLETED
4481,00202550J,2.75,COMPLETED
4482,00202551K,2.7,COMPLETED
4483,00202552L,2.6,COMPLETED
4484,00202553M,2.8,COMPLETED
4485,00202554N,2.65,COMPLETED
4486,00202555O,2.7,COMPLETED
4487,00202556P,2.65,COMPLETED
4488,00202557Q,2.6,COMPLETED
4489,00202558R,2.6,COMPLETED
4490,00202559S,2.75,COMPLETED
4491,00202560T,2.55,COMPLETED
4492,00202561U,2.75,COMPLETED
4493,00202562V,3.5,COMPLETED
4494,00202563W,2.6,COMPLETED
4495,00202564X,2.65,COMPLETED
4496,00202565Y,3.15,COMPLETED
4497,00202566Z,3.0,COMPLETED
4498,00202567A,2.8,COMPLETED
4499,00202568B,2.65,COMPLETED
4500,00202569C,3.0,COMPLETED
4501,00202570D,3.4,COMPLETED
4502,00202571E,3.35,COMPLETED
4503,00202572F,2.75,COMPLETED
4504,00202573G,2.85,COMPLETED
4505,00202574H,3.05,COMPLETED
4506,00202575I,3.25,COMPLETED
4507,00202576J,2.8,COMPLETED
4508,00202577K,3.15,COMPLETED
4509,00202578L,3.55,COMPLETED
4510,00202579M,2.8,COMPLETED
4511,00202580N,3.9,COMPLETED
4512,00202581O,2.85,COMPLETED
4513,00202582P,2.7,COMPLETED
4514,00202583Q,2.55,COMPLETED
4515,00202584R,2.65,COMPLETED
4516,00202585S,2.5,COMPLETED
4517,00202586T,2.55,COMPLETED
4518,00202587U,2.6,COMPLETED
4519,00202588V,2.7,COMPLETED
4520,00202589W,2.6,COMPLETED
4521,00202590X,3.15,COMPLETED
4522,00202591Y,3.4,COMPLETED
4523,00202592Z,2.8,COMPLETED
4524,00202593A,2.65,COMPLETED
4525,00202594B,2.9,COMPLETED
4526,00202595C,2.7,COMPLETED
4527,00202596D,2.8,COMPLETED
4528,00202597E,2.7,COMPLETED
4529,00202598F,2.8,COMPLETED
4530,00202599G,2.6,COMPLETED
4531,00202600H,3.95,COMPLETED
4532,00202601I,2.7,COMPLETED
4533,00202602J,2.75,COMPLETED
4534,00202603K,2.8,COMPLETED
4535,00202604L,2.8,COMPLETED
4536,00202605M,2.55,COMPLETED
4537,00202606N,2.65,COMPLETED
4538,00202607O,2.5,COMPLETED
4539,00202608P,3.25,COMPLETED
4540,00202609Q,2.65,COMPLETED
4541,00202610R,2.5,COMPLETED
4542,00202611S,2.65,COMPLETED
4543,00202612T,2.6,COMPLETED
4544,00202613U,2.5,COMPLETED
4545,00202614V,3.1,COMPLETED
4546,00202615W,2.6,COMPLETED
4547,00202616X,3.0,COMPLETED
4548,00202617Y,2.65,COMPLETED
4549,00202618Z,3.45,COMPLETED
4550,00202619A,2.4,COMPLETED
4551,00202620B,3.0,COMPLETED
4552,00202621C,3.05,COMPLETED
4553,00202622D,2.45,COMPLETED
4554,00202623E,2.95,COMPLETED
4555,00202624F,3.15,COMPLETED
4556,00202625G,2.25,COMPLETED
4557,00202626H,2.4,COMPLETED
4558,00202627I,2.45,COMPLETED
4559,00202628J,2.4,COMPLETED
4560,00202629K,2.5,COMPLETED
4561,00202630L,2.45,COMPLETED
4562,00202631M,2.5,COMPLETED
4563,00202632N,2.5,COMPLETED
4564,00202633O,2.4,COMPLETED
4565,00202634P,2.45,COMPLETED
4566,00202635Q,2.85,COMPLETED
4567,00202636R,2.6,COMPLETED
4568,00202637S,2.8,COMPLETED
4569,00202638T,2.95,COMPLETED
4570,00202639U,2.85,COMPLETED
4571,00202640V,2.45,COMPLETED
4572,00202641W,2.45,COMPLETED
4573,00202642X,2.45,COMPLETED
4574,00202643Y,2.45,COMPLETED
4575,00202644Z,2.45,COMPLETED
4576,00202645A,2.75,COMPLETED
4577,00202646B,2.7,COMPLETED
4578,00202647C,3.1,COMPLETED
4579,00202648D,2.45,COMPLETED
4580,00202649E,2.35,COMPLETED
4581,00202650F,2.75,COMPLETED
4582,00202651G,2.75,COMPLETED
4583,00202652H,3.2,COMPLETED
4584,00202653I,3.25,COMPLETED
4585,00202654J,2.45,COMPLETED
4586,00202655K,2.7,COMPLETED
4587,00202656L,2.35,COMPLETED
4588,00202657M,2.65,COMPLETED
4589,00202658N,2.65,COMPLETED
4590,00202659O,2.4,COMPLETED
4591,00202660P,2.35,COMPLETED
4592,00202661Q,2.4,COMPLETED
4593,00202662R,2.6,COMPLETED
4594,00202663S,2.7,COMPLETED
4595,00202664T,2.45,COMPLETED
4596,00202665U,2.85,COMPLETED
4597,00202666V,2.4,COMPLETED
4598,00202667W,2.9,COMPLETED
4599,00202668X,3.25,COMPLETED
4600,00202669Y,2.5,COMPLETED
4601,00202670Z,2.45,COMPLETED
4602,00202671A,3.55,COMPLETED
4603,00202672B,2.55,COMPLETED
4604,00202673C,2.6,COMPLETED
4605,00202674D,2.55,COMPLETED
4606,00202675E,2.6,COMPLETED
4607,00202676F,2.55,COMPLETED
4608,00202677G,3.0,COMPLETED
4609,00202678H,2.55,COMPLETED
4610,00202679I,2.55,COMPLETED
4611,00202680J,2.65,COMPLETED
4612,00202681K,2.5,COMPLETED
4613,00202682L,2.95,COMPLETED
4614,00202683M,3.4,COMPLETED
4615,00202684N,2.55,COMPLETED
4616,00202685O,2.5,COMPLETED
4617,00202686P,2.55,COMPLETED
4618,00202687Q,2.5,COMPLETED
4619,00202688R,2.55,COMPLETED
4620,00202689S,2.65,COMPLETED
4621,00202690T,2.6,COMPLETED
4622,00202691U,2.6,COMPLETED
4623,00202692V,2.55,COMPLETED
4624,00202693W,2.55,COMPLETED
4625,00202694X,2.7,COMPLETED
4626,00202695Y,2.95,COMPLETED
4627,00202696Z,2.55,COMPLETED
4628,00202697A,2.5,COMPLETED
4629,00202698B,2.55,COMPLETED
4630,00202699C,2.65,COMPLETED
4631,00202700D,2.45,COMPLETED
4632,00202701E,2.65,COMPLETED
4633,00202702F,3.05,COMPLETED
4634,00202703G,2.95,COMPLETED
4635,00202704H,2.6,COMPLETED
4636,00202705I,2.55,COMPLETED
4637,00202706J,2.75,COMPLETED
4638,00202707K,2.4,COMPLETED
4639,00202708L,2.5,COMPLETED
4640,00202709M,2.5,COMPLETED
4641,00202710N,2.85,COMPLETED
4642,00202711O,2.5,COMPLETED
4643,00202712P,2.5,COMPLETED
4644,00202713Q,3.35,COMPLETED
4645,00202714R,3.1,COMPLETED
4646,00202715S,3.05,COMPLETED
4647,00202716T,2.8,COMPLETED
4648,00202717U,3.0,COMPLETED
4649,00202718V,3.0,COMPLETED
4650,00202719W,2.8,COMPLETED
4651,00202720X,2.85,COMPLETED
4652,00202721Y,2.9,COMPLETED
4653,00202722Z,3.3,COMPLETED
4654,00202723A,2.95,COMPLETED
4655,00202724B,2.9,COMPLETED
4656,00202725C,3.05,COMPLETED
4657,00202726D,3.2,COMPLETED
4658,00202727E,3.0,COMPLETED
4659,00202728F,3.15,COMPLETED
4660,00202729G,2.85,COMPLETED
4661,00202730H,3.3,COMPLETED
4662,00202731I,3.05,COMPLETED
4663,00202732J,2.85,COMPLETED
4664,00202733K,2.85,COMPLETED
4665,00202734L,2.8,COMPLETED
4666,00202735M,2.75,COMPLETED
4667,00202736N,2.9,COMPLETED
4668,00202737O,2.8,COMPLETED
4669,00202738P,2.7,COMPLETED
4670,00202739Q,2.7,COMPLETED
4671,00202740R,2.4,COMPLETED
4672,00202741S,2.9,COMPLETED
4673,00202742T,2.6,COMPLETED
4674,00202743U,2.9,COMPLETED
4675,00202744V,3.2,COMPLETED
4676,00202745W,3.35,COMPLETED
4677,00202746X,2.7,COMPLETED
4678,00202747Y,2.8,COMPLETED
4679,00202748Z,2.55,COMPLETED
4680,00202749A,2.6,COMPLETED
4681,00202750B,2.8,COMPLETED
4682,00202751C,2.7,COMPLETED
4683,00202752D,2.85,COMPLETED
4684,00202753E,3.3,COMPLETED
4685,00202754F,3.25,COMPLETED
4686,00202755G,2.55,COMPLETED
4687,00202756H,3.0,COMPLETED
4688,00202757I,2.6,COMPLETED
4689,00202758J,2.65,COMPLETED
4690,00202759K,2.65,COMPLETED
4691,00202760L,2.6,COMPLETED
4692,00202761M,2.95,COMPLETED
4693,00202762N,2.85,COMPLETED
4694,00202763O,2.95,COMPLETED
4695,00202764P,3.2,COMPLETED
4696,00202765Q,3.45,COMPLETED
4697,00202766R,3.3,COMPLETED
4698,00202767S,3.2,COMPLETED
4699,00202768T,3.15,COMPLETED
4700,00202769U,3.0,COMPLETED
4701,00202770V,3.1,COMPLETED
4702,00202771W,2.8,COMPLETED
4703,00202772X,2.8,COMPLETED
4704,00202773Y,3.2,COMPLETED
4705,00202774Z,3.5,COMPLETED
4706,00202775A,2.95,COMPLETED
4707,00202776B,3.1,COMPLETED
4708,00202777C,2.8,COMPLETED
4709,00202778D,3.2,COMPLETED
4710,00202779E,3.35,COMPLETED
4711,00202780F,3.0,COMPLETED
4712,00202781G,2.75,COMPLETED
4713,00202782H,2.75,COMPLETED
4714,00202783I,2.8,COMPLETED
4715,00202784J,3.05,COMPLETED
4716,00202785K,2.85,COMPLETED
4717,00202786L,2.7,COMPLETED
4718,00202787M,2.8,COMPLETED
4719,00202788N,2.8,COMPLETED
4720,00202789O,,ABSENT8
4721,00202790P,2.75,COMPLETED
4722,00202791Q,2.8,COMPLETED
4723,00202792R,2.8,COMPLETED
4724,00202793S,3.2,COMPLETED
4725,00202794T,2.7,COMPLETED
4726,00202795U,2.85,COMPLETED
4727,00202796V,3.0,COMPLETED
4728,00202797W,2.65,COMPLETED
4729,00202798X,2.75,COMPLETED
4730,00202799Y,3.15,COMPLETED
4731,00202800Z,2.65,COMPLETED
4732,00202801A,2.7,COMPLETED
4733,00202802B,2.7,COMPLETED
4734,00202803C,2.7,COMPLETED
4735,00202804D,2.7,COMPLETED
4736,00202805E,2.7,COMPLETED
4737,00202806F,2.7,COMPLETED
4738,00202807G,2.7,COMPLETED
4739,00202808H,3.0,COMPLETED
4740,00202809I,3.15,COMPLETED
4741,00202810J,2.65,COMPLETED
4742,00202811K,2.65,COMPLETED
4743,00202812L,3.15,COMPLETED
4744,00202813M,2.6,COMPLETED
4745,00202814N,2.55,COMPLETED
4746,00202815O,2.7,COMPLETED
4747,00202816P,2.75,COMPLETED
4748,00202817Q,2.9,COMPLETED
4749,00202818R,3.15,COMPLETED
4750,00202819S,2.8,COMPLETED
4751,00202820T,2.85,COMPLETED
4752,00202821U,3.2,COMPLETED
4753,00202822V,2.7,COMPLETED
4754,00202823W,2.75,COMPLETED
4755,00202824X,2.7,COMPLETED
4756,00202825Y,2.7,COMPLETED
4757,00202826Z,2.7,COMPLETED
4758,00202827A,2.7,COMPLETED
4759,00202828B,2.75,COMPLETED
4760,00202829C,2.7,COMPLETED
4761,00202830D,2.8,COMPLETED
4762,00202831E,2.8,COMPLETED
4763,00202832F,2.7,COMPLETED
4764,00202833G,2.7,COMPLETED
4765,00202834H,3.1,COMPLETED
4766,00202835I,3.0,COMPLETED
4767,00202836J,2.7,COMPLETED
4768,00202837K,3.15,COMPLETED
4769,00202838L,2.7,COMPLETED
4770,00202839M,2.7,COMPLETED
4771,00202840N,2.65,COMPLETED
4772,00202841O,2.65,COMPLETED
4773,00202842P,2.55,COMPLETED
4774,00202843Q,2.55,COMPLETED
4775,00202844R,3.1,COMPLETED
4776,00202845S,2.85,COMPLETED
4777,00202846T,3.0,COMPLETED
4778,00202847U,2.75,COMPLETED
4779,00202848V,2.8,COMPLETED
4780,00202849W,3.1,COMPLETED
