symbol,gpa,remarks
00101814X,2.65,COMPLETED
00101815Y,2.70,COMPLETED
00101816Z,2.60,COMPLETED
00101817A,3.35,COMPLETED
00101818B,3.00,COMPLETED
00101819C,2.80,COMPLETED
00101820D,2.65,COMPLETED
00101821E,2.65,COMPLETED
00101822F,2.65,COMPLETED
00101823G,2.65,COMPLETED
00101824H,2.65,COMPLETED
00101825I,2.75,COMPLETED
00101826J,3.20,COMPLETED
00101827K,3.05,COMPLETED
00101828L,3.00,COMPLETED
00101829M,3.00,COMPLETED
00101830N,3.20,COMPLETED
00101831O,3.05,COMPLETED
00101832P,3.10,COMPLETED
00101833Q,3.00,COMPLETED
00101834R,3.15,COMPLETED
00101835S,3.25,COMPLETED
00101836T,2.60,COMPLETED
00101837U,2.55,COMPLETED
00101838V,3.55,COMPLETED
00101839W,2.55,COMPLETED
00101840X,2.60,COMPLETED
00101841Y,3.20,COMPLETED
00101842Z,2.60,COMPLETED
00101843A,3.05,COMPLETED
00101844B,2.75,COMPLETED
00101845C,2.45,COMPLETED
00101846D,3.35,COMPLETED
00101847E,2.65,COMPLETED
00101848F,2.50,COMPLETED
00101849G,2.75,COMPLETED
00101850H,2.80,COMPLETED
00101851I,2.60,COMPLETED
00101852J,2.75,COMPLETED
00101853K,2.40,COMPLETED
00101854L,2.80,COMPLETED
00101855M,2.60,COMPLETED
00101856N,2.65,COMPLETED
00101857O,2.65,COMPLETED
00101858P,2.55,COMPLETED
00101859Q,2.75,COMPLETED
00101860R,2.75,COMPLETED
00101861S,2.55,COMPLETED
00101862T,2.80,COMPLETED
00101863U,2.70,COMPLETED
00101864V,2.65,COMPLETED
00101865W,2.70,COMPLETED
00101866X,2.70,COMPLETED
00101867Y,2.65,COMPLETED
00101868Z,2.70,COMPLETED
00101869A,2.65,COMPLETED
00101870B,3.10,COMPLETED
00101871C,2.60,COMPLETED
00101872D,3.60,COMPLETED
00101873E,4.00,COMPLETED
00101874F,3.65,COMPLETED
00101875G,4.00,COMPLETED
00101876H,2.20,COMPLETED
00101877I,2.25,COMPLETED
00101878J,2.75,COMPLETED
00101879K,2.15,COMPLETED
00101880L,2.15,COMPLETED
00101881M,2.20,COMPLETED
00101882N,2.50,COMPLETED
00101883O,2.20,COMPLETED
00101884P,2.80,COMPLETED
00101885Q,2.65,COMPLETED
00101886R,2.35,COMPLETED
00101887S,2.30,COMPLETED
00101888T,2.30,COMPLETED
00101889U,2.75,COMPLETED
00101890V,3.15,COMPLETED
00101891W,2.30,COMPLETED
00101892X,2.40,COMPLETED
00101893Y,2.40,COMPLETED
00101894Z,2.30,COMPLETED
00101895A,2.50,COMPLETED
00101896B,2.30,COMPLETED
00101897C,2.60,COMPLETED
00101898D,2.60,COMPLETED
00101899E,2.55,COMPLETED
00101900F,2.55,COMPLETED
00101901G,2.75,COMPLETED
00101902H,,ABSENT8
00101903I,2.55,COMPLETED
00101904J,2.50,COMPLETED
00101905K,2.55,COMPLETED
00101906L,2.50,COMPLETED
00101907M,3.15,COMPLETED
00101908N,2.65,COMPLETED
00101909O,2.60,COMPLETED
00101910P,2.45,COMPLETED
00101911Q,2.55,COMPLETED
00101912R,2.60,COMPLETED
00101913S,3.00,COMPLETED
00101914T,2.60,COMPLETED
00101915U,2.60,COMPLETED
00101916V,3.15,COMPLETED
00101917W,2.60,COMPLETED
00101918X,2.40,COMPLETED
00101919Y,2.60,COMPLETED
00101920Z,3.10,COMPLETED
00101921A,3.50,COMPLETED
00101922B,3.10,COMPLETED
00101923C,3.45,COMPLETED
00101924D,3.50,COMPLETED
00101925E,2.85,COMPLETED
00101926F,3.50,COMPLETED
00101927G,3.10,COMPLETED
00101928H,3.50,COMPLETED
00101929I,3.10,COMPLETED
00101930J,3.50,COMPLETED
00101931K,2.50,COMPLETED
00101932L,2.90,COMPLETED
00200001I,2.90,COMPLETED
00200002J,3.10,COMPLETED
00200003K,2.70,COMPLETED
00200004L,2.65,COMPLETED
00200005M,3.25,COMPLETED
00200006N,2.65,COMPLETED
00200007O,3.05,COMPLETED
00200008P,2.80,COMPLETED
00200009Q,2.85,COMPLETED
00200010R,2.60,COMPLETED
00200011S,2.90,COMPLETED
00200012T,3.15,COMPLETED
00200013U,3.00,COMPLETED
00200014V,2.75,COMPLETED
00200015W,2.70,COMPLETED
00200016X,2.70,COMPLETED
00200017Y,2.75,COMPLETED
00200018Z,2.70,COMPLETED
00200019A,2.80,COMPLETED
00200020B,2.65,COMPLETED
00200021C,3.10,COMPLETED
00200022D,3.20,COMPLETED
00200023E,2.75,COMPLETED
00200024F,2.75,COMPLETED
00200025G,2.55,COMPLETED
00200026H,2.90,COMPLETED
00200027I,3.65,COMPLETED
00200028J,3.05,COMPLETED
00200029K,2.90,COMPLETED
00200030L,3.10,COMPLETED
00200031M,3.65,COMPLETED
00200032N,2.80,COMPLETED
00200033O,2.60,COMPLETED
00200034P,2.60,COMPLETED
00200035Q,2.90,COMPLETED
00200036R,2.75,COMPLETED
00200037S,3.55,COMPLETED
00200038T,3.95,COMPLETED
00200039U,3.20,COMPLETED
00200040V,3.20,COMPLETED
00200041W,2.95,COMPLETED
00200042X,2.85,COMPLETED
00200043Y,2.65,COMPLETED
00200044Z,2.75,COMPLETED
00200045A,3.50,COMPLETED
00200046B,3.35,COMPLETED
00200047C,3.85,COMPLETED
00200048D,2.70,COMPLETED
00200049E,2.90,COMPLETED
00200050F,3.20,COMPLETED
00200051G,3.20,COMPLETED
00200052H,3.70,COMPLETED
00200053I,3.20,COMPLETED
00200054J,3.70,COMPLETED
00200055K,3.70,COMPLETED
00200056L,3.45,COMPLETED
00200057M,2.85,COMPLETED
00200058N,3.50,COMPLETED
00200059O,2.65,COMPLETED
00200060P,3.90,COMPLETED
00200061Q,3.45,COMPLETED
00200062R,2.65,COMPLETED
00200063S,3.15,COMPLETED
00200064T,2.85,COMPLETED
00200065U,2.75,COMPLETED
00200066V,3.75,COMPLETED
00200067W,2.95,COMPLETED
00200068X,3.25,COMPLETED
00200069Y,2.65,COMPLETED
00200070Z,3.25,COMPLETED
00200071A,2.95,COMPLETED
00200072B,2.90,COMPLETED
00200073C,2.70,COMPLETED
00200074D,3.05,COMPLETED
00200075E,3.15,COMPLETED
00200076F,3.30,COMPLETED
00200077G,3.25,COMPLETED
00200078H,2.60,COMPLETED
00200079I,2.70,COMPLETED
00200080J,2.85,COMPLETED
00200081K,2.75,COMPLETED
00200082L,3.20,COMPLETED
00200083M,2.40,COMPLETED
00200084N,2.70,COMPLETED
00200085O,3.05,COMPLETED
00200086P,2.60,COMPLETED
00200087Q,3.15,COMPLETED
00200088R,3.50,COMPLETED
00200089S,3.40,COMPLETED
00200090T,3.95,COMPLETED
00200091U,3.00,COMPLETED
00200092V,2.95,COMPLETED
00200093W,2.50,COMPLETED
00200094X,3.40,COMPLETED
00200095Y,2.85,COMPLETED
00200096Z,3.80,COMPLETED
00200097A,3.25,COMPLETED
00200098B,2.95,COMPLETED
00200099C,2.45,COMPLETED
00200100D,2.80,COMPLETED
00200101E,2.45,COMPLETED
00200102F,2.70,COMPLETED
00200103G,2.45,COMPLETED
00200104H,2.65,COMPLETED
00200105I,2.75,COMPLETED
00200106J,2.60,COMPLETED
00200107K,2.55,COMPLETED
00200108L,2.45,COMPLETED
00200109M,2.75,COMPLETED
00200110N,2.65,COMPLETED
00200111O,2.70,COMPLETED
00200112P,2.60,COMPLETED
00200113Q,2.75,COMPLETED
00200114R,2.65,COMPLETED
00200115S,2.55,COMPLETED
00200116T,2.60,COMPLETED
00200117U,3.35,COMPLETED
00200118V,2.95,COMPLETED
00200119W,2.60,COMPLETED
00200120X,3.25,COMPLETED
00200121Y,3.30,COMPLETED
00200122Z,2.55,COMPLETED
00200123A,2.60,COMPLETED
00200124B,2.50,COMPLETED
00200125C,2.55,COMPLETED
00200126D,2.55,COMPLETED
00200127E,2.65,COMPLETED
00200128F,4.00,COMPLETED
00200129G,2.60,COMPLETED
00200130H,2.55,COMPLETED
00200131I,2.55,COMPLETED
00200132J,2.55,COMPLETED
00200133K,2.60,COMPLETED
00200134L,3.30,COMPLETED
00200135M,2.65,COMPLETED
00200136N,2.60,COMPLETED
00200137O,2.90,COMPLETED
00200138P,3.00,COMPLETED
00200139Q,2.55,COMPLETED
00200140R,2.50,COMPLETED
00200141S,2.55,COMPLETED
00200142T,2.55,COMPLETED
00200143U,2.65,COMPLETED
00200144V,2.60,COMPLETED
00200145W,2.60,COMPLETED
00200146X,2.75,COMPLETED
00200147Y,3.40,COMPLETED
00200148Z,2.75,COMPLETED
00200149A,2.65,COMPLETED
00200150B,2.90,COMPLETED
00200151C,2.80,COMPLETED
00200152D,2.85,COMPLETED
00200153E,2.80,COMPLETED
00200154F,2.65,COMPLETED
00200155G,2.95,COMPLETED
00200156H,2.70,COMPLETED
00200157I,2.70,COMPLETED
00200158J,2.75,COMPLETED
00200159K,2.70,COMPLETED
00200160L,3.05,COMPLETED
00200161M,2.75,COMPLETED
00200162N,2.85,COMPLETED
00200163O,3.05,COMPLETED
00200164P,2.75,COMPLETED
00200165Q,2.70,COMPLETED
00200166R,2.90,COMPLETED
00200167S,2.75,COMPLETED
00200168T,3.00,COMPLETED
00200169U,2.80,COMPLETED
00200170V,3.05,COMPLETED
00200171W,2.80,COMPLETED
00200172X,3.10,COMPLETED
00200173Y,3.45,COMPLETED
00200174Z,2.70,COMPLETED
00200175A,2.90,COMPLETED
00200176B,2.95,COMPLETED
00200177C,2.75,COMPLETED
00200178D,2.85,COMPLETED
00200179E,2.75,COMPLETED
00200180F,2.80,COMPLETED
00200181G,2.80,COMPLETED
00200182H,2.80,COMPLETED
00200183I,2.85,COMPLETED
00200184J,3.00,COMPLETED
00200185K,2.95,COMPLETED
00200186L,2.80,COMPLETED
00200187M,2.85,COMPLETED
00200188N,2.85,COMPLETED
00200189O,2.80,COMPLETED
00200190P,2.80,COMPLETED
00200191Q,2.85,COMPLETED
00200192R,2.75,COMPLETED
00200193S,2.85,COMPLETED
00200194T,3.40,COMPLETED
00200195U,2.85,COMPLETED
00200196V,2.90,COMPLETED
00200197W,2.80,COMPLETED
00200198X,2.95,COMPLETED
00200199Y,2.70,COMPLETED
00200200Z,2.75,COMPLETED
00200201A,2.40,COMPLETED
00200202B,2.45,COMPLETED
00200203C,3.00,COMPLETED
00200204D,2.60,COMPLETED
00200205E,2.55,COMPLETED
00200206F,2.60,COMPLETED
00200207G,2.80,COMPLETED
00200208H,2.55,COMPLETED
00200209I,2.55,COMPLETED
00200210J,2.55,COMPLETED
00200211K,2.50,COMPLETED
00200212L,2.50,COMPLETED
00200213M,2.45,COMPLETED
00200214N,2.75,COMPLETED
00200215O,2.55,COMPLETED
00200216P,2.45,COMPLETED
00200217Q,2.45,COMPLETED
00200218R,2.40,COMPLETED
00200219S,2.50,COMPLETED
00200220T,2.55,COMPLETED
00200221U,2.55,COMPLETED
00200222V,2.50,COMPLETED
00200223W,2.45,COMPLETED
00200224X,2.70,COMPLETED
00200225Y,2.75,COMPLETED
00200226Z,2.80,COMPLETED
00200227A,2.75,COMPLETED
00200228B,2.75,COMPLETED
00200229C,2.50,COMPLETED
00200230D,3.35,COMPLETED
00200231E,2.60,COMPLETED
00200232F,3.20,COMPLETED
00200233G,2.50,COMPLETED
00200234H,2.95,COMPLETED
00200235I,2.85,COMPLETED
00200236J,3.05,COMPLETED
00200237K,2.50,COMPLETED
00200238L,2.60,COMPLETED
00200239M,2.60,COMPLETED
00200240N,2.50,COMPLETED
00200241O,2.35,COMPLETED
00200242P,2.90,COMPLETED
00200243Q,2.55,COMPLETED
00200244R,2.70,COMPLETED
00200245S,2.55,COMPLETED
00200246T,2.55,COMPLETED
00200247U,2.80,COMPLETED
00200248V,2.55,COMPLETED
00200249W,3.25,COMPLETED
00200250X,3.40,COMPLETED
00200251Y,2.45,COMPLETED
00200252Z,2.95,COMPLETED
00200253A,2.55,COMPLETED
00200254B,2.45,COMPLETED
00200255C,2.55,COMPLETED
00200256D,2.50,COMPLETED
00200257E,2.60,COMPLETED
00200258F,2.85,COMPLETED
00200259G,2.55,COMPLETED
00200260H,2.60,COMPLETED
00200261I,2.60,COMPLETED
00200262J,2.55,COMPLETED
00200263K,3.10,COMPLETED
00200264L,2.45,COMPLETED
00200265M,2.75,COMPLETED
00200266N,2.50,COMPLETED
00200267O,2.55,COMPLETED
00200268P,2.55,COMPLETED
00200269Q,2.65,COMPLETED
00200270R,2.60,COMPLETED
00200271S,3.55,COMPLETED
00200272T,2.70,COMPLETED
00200273U,3.00,COMPLETED
00200274V,3.30,COMPLETED
00200275W,2.50,COMPLETED
00200276X,3.50,COMPLETED
00200277Y,2.80,COMPLETED
00200278Z,2.60,COMPLETED
00200279A,2.60,COMPLETED
00200280B,2.70,COMPLETED
00200281C,2.55,COMPLETED
00200282D,3.15,COMPLETED
00200283E,3.20,COMPLETED
00200284F,2.80,COMPLETED
00200285G,2.50,COMPLETED
00200286H,2.55,COMPLETED
00200287I,,ABSENT8
00200288J,2.75,COMPLETED
00200289K,2.60,COMPLETED
00200290L,2.55,COMPLETED
00200291M,3.05,COMPLETED
00200292N,2.90,COMPLETED
00200293O,2.60,COMPLETED
00200294P,2.60,COMPLETED
00200295Q,2.50,COMPLETED
00200296R,3.15,COMPLETED
00200297S,3.15,COMPLETED
00200298T,3.15,COMPLETED
00200299U,2.50,COMPLETED
00200300V,2.60,COMPLETED
00200301W,2.50,COMPLETED
00200302X,2.50,COMPLETED
00200303Y,2.85,COMPLETED
00200304Z,2.55,COMPLETED
00200305A,2.65,COMPLETED
00200306B,2.80,COMPLETED
00200307C,2.75,COMPLETED
00200308D,2.65,COMPLETED
00200309E,2.80,COMPLETED
00200310F,2.90,COMPLETED
00200311G,3.25,COMPLETED
00200312H,2.65,COMPLETED
00200313I,3.20,COMPLETED
00200314J,3.25,COMPLETED
00200315K,3.25,COMPLETED
00200316L,2.75,COMPLETED
00200317M,2.90,COMPLETED
00200318N,2.75,COMPLETED
00200319O,2.80,COMPLETED
00200320P,3.55,COMPLETED
00200321Q,2.65,COMPLETED
00200322R,2.80,COMPLETED
00200323S,2.80,COMPLETED
00200324T,2.30,COMPLETED
00200325U,2.60,COMPLETED
00200326V,2.80,COMPLETED
00200327W,2.60,COMPLETED
00200328X,3.30,COMPLETED
00200329Y,2.50,COMPLETED
00200330Z,2.75,COMPLETED
00200331A,3.05,COMPLETED
00200332B,3.10,COMPLETED
00200333C,2.35,COMPLETED
00200334D,2.30,COMPLETED
00200335E,2.30,COMPLETED
00200336F,2.50,COMPLETED
00200337G,3.00,COMPLETED
00200338H,4.00,COMPLETED
00200339I,2.55,COMPLETED
00200340J,2.80,COMPLETED
00200341K,2.30,COMPLETED
00200342L,2.70,COMPLETED
00200343M,2.40,COMPLETED
00200344N,2.85,COMPLETED
00200345O,2.30,COMPLETED
00200346P,2.75,COMPLETED
00200347Q,2.30,COMPLETED
00200348R,2.35,COMPLETED
00200349S,3.25,COMPLETED
00200350T,2.45,COMPLETED
00200351U,2.35,COMPLETED
00200352V,2.85,COMPLETED
00200353W,3.55,COMPLETED
00200354X,3.60,COMPLETED
00200355Y,2.45,COMPLETED
00200356Z,2.60,COMPLETED
00200357A,2.45,COMPLETED
00200358B,2.40,COMPLETED
00200359C,2.50,COMPLETED
00200360D,2.85,COMPLETED
00200361E,2.45,COMPLETED
00200362F,2.90,COMPLETED
00200363G,3.10,COMPLETED
00200364H,3.45,COMPLETED
00200365I,2.30,COMPLETED
00200366J,3.25,COMPLETED
00200367K,2.45,COMPLETED
00200368L,3.05,COMPLETED
00200369M,2.50,COMPLETED
00200370N,2.50,COMPLETED
00200371O,2.95,COMPLETED
00200372P,3.85,COMPLETED
00200373Q,3.00,COMPLETED
00200374R,2.40,COMPLETED
00200375S,2.40,COMPLETED
00200376T,2.75,COMPLETED
00200377U,2.75,COMPLETED
00200378V,2.50,COMPLETED
00200379W,2.55,COMPLETED
00200380X,2.40,COMPLETED
00200381Y,2.45,COMPLETED
00200382Z,2.40,COMPLETED
00200383A,2.45,COMPLETED
00200384B,2.35,COMPLETED
00200385C,2.35,COMPLETED
00200386D,2.35,COMPLETED
00200387E,2.35,COMPLETED
00200388F,2.40,COMPLETED
00200389G,2.60,COMPLETED
00200390H,2.45,COMPLETED
00200391I,2.40,COMPLETED
00200392J,2.35,COMPLETED
00200393K,2.35,COMPLETED
00200394L,2.35,COMPLETED
00200395M,2.35,COMPLETED
00200396N,2.35,COMPLETED
00200397O,2.35,COMPLETED
00200398P,3.00,COMPLETED
00200399Q,2.50,COMPLETED
00200400R,2.40,COMPLETED
00200401S,2.35,COMPLETED
00200402T,2.50,COMPLETED
00200403U,2.55,COMPLETED
00200404V,2.55,COMPLETED
00200405W,3.15,COMPLETED
00200406X,2.90,COMPLETED
00200407Y,2.70,COMPLETED
00200408Z,2.45,COMPLETED
00200409A,2.55,COMPLETED
00200410B,2.35,COMPLETED
00200411C,2.45,COMPLETED
00200412D,2.35,COMPLETED
00200413E,2.35,COMPLETED
00200414F,3.70,COMPLETED
00200415G,2.60,COMPLETED
00200416H,2.90,COMPLETED
00200417I,3.70,COMPLETED
00200418J,2.50,COMPLETED
00200419K,2.35,COMPLETED
00200420L,2.50,COMPLETED
00200421M,2.45,COMPLETED
00200422N,3.00,COMPLETED
00200423O,3.35,COMPLETED
00200424P,2.55,COMPLETED
00200425Q,3.25,COMPLETED
00200426R,2.35,COMPLETED
00200427S,2.35,COMPLETED
00200428T,2.35,COMPLETED
00200429U,2.40,COMPLETED
00200430V,2.85,COMPLETED
00200431W,2.35,COMPLETED
00200432X,2.40,COMPLETED
00200433Y,2.40,COMPLETED
00200434Z,3.70,COMPLETED
00200435A,3.00,COMPLETED
00200436B,2.40,COMPLETED
00200437C,2.60,COMPLETED
00200438D,2.50,COMPLETED
00200439E,2.40,COMPLETED
00200440F,3.20,COMPLETED
00200441G,2.45,COMPLETED
00200442H,2.95,COMPLETED
00200443I,3.15,COMPLETED
00200444J,2.85,COMPLETED
00200445K,2.80,COMPLETED
00200446L,3.20,COMPLETED
00200447M,3.20,COMPLETED
00200448N,2.80,COMPLETED
00200449O,2.80,COMPLETED
00200450P,3.20,COMPLETED
00200451Q,3.20,COMPLETED
00200452R,2.80,COMPLETED
00200453S,2.80,COMPLETED
00200454T,2.80,COMPLETED
00200455U,3.05,COMPLETED
00200456V,3.20,COMPLETED
00200457W,3.20,COMPLETED
00200458X,2.80,COMPLETED
00200459Y,3.20,COMPLETED
00200460Z,2.80,COMPLETED
00200461A,3.20,COMPLETED
00200462B,2.80,COMPLETED
00200463C,2.95,COMPLETED
00200464D,2.80,COMPLETED
00200465E,2.80,COMPLETED
00200466F,2.80,COMPLETED
00200467G,3.20,COMPLETED
00200468H,3.20,COMPLETED
00200469I,2.80,COMPLETED
00200470J,2.80,COMPLETED
00200471K,2.80,COMPLETED
00200472L,2.80,COMPLETED
00200473M,2.80,COMPLETED
00200474N,2.80,COMPLETED
00200475O,2.80,COMPLETED
00200476P,2.80,COMPLETED
00200477Q,2.45,COMPLETED
00200478R,2.45,COMPLETED
00200479S,2.50,COMPLETED
00200480T,2.45,COMPLETED
00200481U,2.50,COMPLETED
00200482V,2.45,COMPLETED
00200483W,2.45,COMPLETED
00200484X,2.45,COMPLETED
00200485Y,3.20,COMPLETED
00200486Z,3.20,COMPLETED
00200487A,2.45,COMPLETED
00200488B,2.45,COMPLETED
00200489C,3.25,COMPLETED
00200490D,2.45,COMPLETED
00200491E,2.45,COMPLETED
00200492F,2.45,COMPLETED
00200493G,2.45,COMPLETED
00200494H,3.60,COMPLETED
00200495I,2.50,COMPLETED
00200496J,2.85,COMPLETED
00200497K,2.45,COMPLETED
00200498L,2.40,COMPLETED
00200499M,2.45,COMPLETED
00200500N,2.45,COMPLETED
00200501O,2.20,COMPLETED
00200502P,2.45,COMPLETED
00200503Q,3.60,COMPLETED
00200504R,2.60,COMPLETED
00200505S,2.10,COMPLETED
00200506T,3.20,COMPLETED
00200507U,2.45,COMPLETED
00200508V,2.45,COMPLETED
00200509W,2.45,COMPLETED
00200510X,2.70,COMPLETED
00200511Y,2.45,COMPLETED
00200512Z,2.80,COMPLETED
00200513A,2.45,COMPLETED
00200514B,2.45,COMPLETED
00200515C,2.45,COMPLETED
00200516D,2.45,COMPLETED
00200517E,2.45,COMPLETED
00200518F,2.45,COMPLETED
00200519G,3.60,COMPLETED
00200520H,3.60,COMPLETED
00200521I,2.85,COMPLETED
00200522J,2.45,COMPLETED
00200523K,2.85,COMPLETED
00200524L,2.45,COMPLETED
00200525M,2.45,COMPLETED
00200526N,2.45,COMPLETED
00200527O,2.45,COMPLETED
00200528P,3.60,COMPLETED
00200529Q,2.45,COMPLETED
00200530R,2.45,COMPLETED
00200531S,2.45,COMPLETED
00200532T,3.60,COMPLETED
00200533U,2.45,COMPLETED
00200534V,2.45,COMPLETED
00200535W,3.60,COMPLETED
00200536X,2.50,COMPLETED
00200537Y,2.70,COMPLETED
00200538Z,2.75,COMPLETED
00200539A,3.20,COMPLETED
00200540B,2.40,COMPLETED
00200541C,2.80,COMPLETED
00200542D,2.45,COMPLETED
00200543E,3.20,COMPLETED
00200544F,2.05,COMPLETED
00200545G,2.60,COMPLETED
00200546H,3.40,COMPLETED
00200547I,2.65,COMPLETED
00200548J,2.80,COMPLETED
00200549K,2.55,COMPLETED
00200550L,2.70,COMPLETED
00200551M,3.00,COMPLETED
00200552N,3.20,COMPLETED
00200553O,2.70,COMPLETED
00200554P,3.25,COMPLETED
00200555Q,3.45,COMPLETED
00200556R,2.80,COMPLETED
00200557S,3.50,COMPLETED
00200558T,2.60,COMPLETED
00200559U,2.65,COMPLETED
00200560V,2.65,COMPLETED
00200561W,2.65,COMPLETED
00200562X,2.70,COMPLETED
00200563Y,2.60,COMPLETED
00200564Z,2.85,COMPLETED
00200565A,2.70,COMPLETED
00200566B,2.90,COMPLETED
00200567C,3.05,COMPLETED
00200568D,,ABSENT8
00200569E,3.35,COMPLETED
00200570F,3.35,COMPLETED
00200571G,2.75,COMPLETED
00200572H,2.60,COMPLETED
00200573I,2.70,COMPLETED
00200574J,2.70,COMPLETED
00200575K,3.15,COMPLETED
00200576L,3.25,COMPLETED
00200577M,3.25,COMPLETED
00200578N,2.75,COMPLETED
00200579O,2.60,COMPLETED
00200580P,2.65,COMPLETED
00200581Q,2.85,COMPLETED
00200582R,2.70,COMPLETED
00200583S,,ABSENT8
00200584T,2.65,COMPLETED
00200585U,3.25,COMPLETED
00200586V,2.60,COMPLETED
00200587W,3.15,COMPLETED
00200588X,3.00,COMPLETED
00200589Y,2.75,COMPLETED
00200590Z,2.65,COMPLETED
00200591A,2.60,COMPLETED
00200592B,2.65,COMPLETED
00200593C,3.25,COMPLETED
00200594D,3.25,COMPLETED
00200595E,2.70,COMPLETED
00200596F,2.65,COMPLETED
00200597G,2.65,COMPLETED
00200598H,2.75,COMPLETED
00200599I,2.70,COMPLETED
00200600J,2.65,COMPLETED
00200601K,3.40,COMPLETED
00200602L,,ABSENT8
00200603M,2.35,COMPLETED
00200604N,2.50,COMPLETED
00200605O,2.95,COMPLETED
00200606P,2.60,COMPLETED
00200607Q,2.75,COMPLETED
00200608R,2.65,COMPLETED
00200609S,2.50,COMPLETED
00200610T,3.00,COMPLETED
00200611U,2.80,COMPLETED
00200612V,2.50,COMPLETED
00200613W,2.40,COMPLETED
00200614X,2.45,COMPLETED
00200615Y,2.80,COMPLETED
00200616Z,2.45,COMPLETED
00200617A,2.40,COMPLETED
00200618B,3.05,COMPLETED
00200619C,2.95,COMPLETED
00200620D,2.75,COMPLETED
00200621E,2.80,COMPLETED
00200622F,3.05,COMPLETED
00200623G,2.70,COMPLETED
00200624H,2.65,COMPLETED
00200625I,3.55,COMPLETED
00200626J,2.45,COMPLETED
00200627K,2.85,COMPLETED
00200628L,2.45,COMPLETED
00200629M,2.65,COMPLETED
00200630N,2.30,COMPLETED
00200631O,2.80,COMPLETED
00200632P,2.95,COMPLETED
00200633Q,2.50,COMPLETED
00200634R,2.95,COMPLETED
00200635S,3.30,COMPLETED
00200636T,2.65,COMPLETED
00200637U,2.65,COMPLETED
00200638V,3.00,COMPLETED
00200639W,2.75,COMPLETED
00200640X,2.80,COMPLETED
00200641Y,2.80,COMPLETED
00200642Z,2.75,COMPLETED
00200643A,2.75,COMPLETED
00200644B,2.55,COMPLETED
00200645C,3.55,COMPLETED
00200646D,2.65,COMPLETED
00200647E,2.60,COMPLETED
00200648F,2.95,COMPLETED
00200649G,2.55,COMPLETED
00200650H,3.60,COMPLETED
00200651I,2.95,COMPLETED
00200652J,2.55,COMPLETED
00200653K,2.60,COMPLETED
00200654L,2.45,COMPLETED
00200655M,2.90,COMPLETED
00200656N,2.75,COMPLETED
00200657O,2.60,COMPLETED
00200658P,2.75,COMPLETED
00200659Q,2.95,COMPLETED
00200660R,2.65,COMPLETED
00200661S,3.15,COMPLETED
00200662T,3.00,COMPLETED
00200663U,2.75,COMPLETED
00200664V,2.75,COMPLETED
00200665W,2.85,COMPLETED
00200666X,2.80,COMPLETED
00200667Y,2.65,COMPLETED
00200668Z,3.05,COMPLETED
00200669A,2.60,COMPLETED
00200670B,2.70,COMPLETED
00200671C,2.60,COMPLETED
00200672D,2.75,COMPLETED
00200673E,2.70,COMPLETED
00200674F,2.85,COMPLETED
00200675G,2.85,COMPLETED
00200676H,2.70,COMPLETED
00200677I,2.95,COMPLETED
00200678J,2.90,COMPLETED
00200679K,2.85,COMPLETED
00200680L,2.75,COMPLETED
00200681M,2.85,COMPLETED
00200682N,2.55,COMPLETED
00200683O,2.70,COMPLETED
00200684P,2.90,COMPLETED
00200685Q,2.60,COMPLETED
00200686R,2.75,COMPLETED
00200687S,2.80,COMPLETED
00200688T,2.80,COMPLETED
00200689U,3.20,COMPLETED
00200690V,2.80,COMPLETED
00200691W,2.60,COMPLETED
00200692X,2.80,COMPLETED
00200693Y,2.95,COMPLETED
00200694Z,3.05,COMPLETED
00200695A,2.95,COMPLETED
00200696B,2.80,COMPLETED
00200697C,2.50,COMPLETED
00200698D,2.65,COMPLETED
00200699E,2.85,COMPLETED
00200700F,2.75,COMPLETED
00200701G,2.85,COMPLETED
00200702H,2.70,COMPLETED
00200703I,2.65,COMPLETED
00200704J,2.65,COMPLETED
00200705K,2.80,COMPLETED
00200706L,2.90,COMPLETED
00200707M,2.85,COMPLETED
00200708N,2.65,COMPLETED
00200709O,2.85,COMPLETED
00200710P,2.90,COMPLETED
00200711Q,2.80,COMPLETED
00200712R,3.45,COMPLETED
00200713S,2.90,COMPLETED
00200714T,2.80,COMPLETED
00200715U,3.00,COMPLETED
00200716V,2.65,COMPLETED
00200717W,2.65,COMPLETED
00200718X,2.85,COMPLETED
00200719Y,2.80,COMPLETED
00200720Z,2.85,COMPLETED
00200721A,2.90,COMPLETED
00200722B,2.90,COMPLETED
00200723C,2.60,COMPLETED
00200724D,2.65,COMPLETED
00200725E,3.00,COMPLETED
00200726F,2.75,COMPLETED
00200727G,2.80,COMPLETED
00200728H,2.80,COMPLETED
00200729I,3.10,COMPLETED
00200730J,2.65,COMPLETED
00200731K,2.85,COMPLETED
00200732L,2.70,COMPLETED
00200733M,2.75,COMPLETED
00200734N,3.00,COMPLETED
00200735O,2.80,COMPLETED
00200736P,2.70,COMPLETED
00200737Q,2.85,COMPLETED
00200738R,2.75,COMPLETED
00200739S,2.80,COMPLETED
00200740T,2.90,COMPLETED
00200741U,2.50,COMPLETED
00200742V,2.70,COMPLETED
00200743W,2.45,COMPLETED
00200744X,2.75,COMPLETED
00200745Y,2.45,COMPLETED
00200746Z,2.70,COMPLETED
00200747A,2.70,COMPLETED
00200748B,2.45,COMPLETED
00200749C,2.50,COMPLETED
